family,cluster_config,load,policy,n_runs,mean_throughput_horizon,sd_throughput_horizon,ci95_low_throughput_horizon,ci95_high_throughput_horizon,mean_p95_wait_time,sd_p95_wait_time,ci95_low_p95_wait_time,ci95_high_p95_wait_time,mean_mean_wait_time,sd_mean_wait_time,ci95_low_mean_wait_time,ci95_high_mean_wait_time,mean_queued_at_horizon,sd_queued_at_horizon,ci95_low_queued_at_horizon,ci95_high_queued_at_horizon,mean_completion_ratio_horizon,sd_completion_ratio_horizon,ci95_low_completion_ratio_horizon,ci95_high_completion_ratio_horizon,mean_time_weighted_cpu_utilization,sd_time_weighted_cpu_utilization,ci95_low_time_weighted_cpu_utilization,ci95_high_time_weighted_cpu_utilization,mean_time_weighted_ram_utilization,sd_time_weighted_ram_utilization,ci95_low_time_weighted_ram_utilization,ci95_high_time_weighted_ram_utilization,mean_time_weighted_queue_length,sd_time_weighted_queue_length,ci95_low_time_weighted_queue_length,ci95_high_time_weighted_queue_length,mean_time_weighted_active_nodes,sd_time_weighted_active_nodes,ci95_low_time_weighted_active_nodes,ci95_high_time_weighted_active_nodes,mean_drained_throughput,sd_drained_throughput,ci95_low_drained_throughput,ci95_high_drained_throughput
ram_heavy,homog,high,tetris,10,22.196000000,0.255395119,22.013301351,22.378698649,16.512802227,2.142221381,14.980349479,18.045254976,5.451477932,0.806301425,4.874684681,6.028271184,307.800000000,39.888177029,279.265719149,336.334280851,0.657191950,0.016331970,0.645508763,0.668875137,0.552156875,0.006409121,0.547572066,0.556741683,0.911094099,0.004708824,0.907725610,0.914462589,140.683187614,22.472119478,124.607602910,156.758772318,29.629860801,0.110161041,29.551056345,29.708665256,21.952218063,0.180639165,21.822996598,22.081439527
ram_heavy,homog,low,binpack,10,14.564000000,0.565669711,14.159344295,14.968655705,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.000000000,0.799480841,0.010959928,0.791640581,0.807321100,0.370445063,0.012414854,0.361564012,0.379326114,0.632944580,0.023740541,0.615961621,0.649927538,0.000000000,0.000000000,0.000000000,0.000000000,21.091926396,0.761039521,20.547511557,21.636341234,14.834965939,0.454875824,14.509567401,15.160364478
ram_heavy,homog,low,hybrid,10,14.564000000,0.565669711,14.159344295,14.968655705,0.000000000,0.000000000,0.000000000,0.000000000,0.000016428,0.000051950,-0.000020735,0.000053590,0.000000000,0.000000000,0.000000000,0.000000000,0.799480841,0.010959928,0.791640581,0.807321100,0.370444182,0.012412894,0.361564533,0.379323831,0.632942466,0.023735931,0.615962805,0.649922127,0.000317059,0.001002628,-0.000400178,0.001034295,28.564822479,0.250655708,28.385514201,28.744130758,14.834965939,0.454875824,14.509567401,15.160364478
ram_heavy,homog,low,spread,10,14.564000000,0.565669711,14.159344295,14.968655705,0.000000000,0.000000000,0.000000000,0.000000000,0.000020194,0.000063857,-0.000025487,0.000065874,0.000000000,0.000000000,0.000000000,0.000000000,0.799480841,0.010959928,0.791640581,0.807321100,0.370443980,0.012412445,0.361564652,0.379323308,0.632941982,0.023734874,0.615963077,0.649920887,0.000389735,0.001232449,-0.000491906,0.001271376,29.507043782,0.084448900,29.446632683,29.567454882,14.834965939,0.454875824,14.509567401,15.160364478
ram_heavy,homog,low,tetris,10,14.564000000,0.565669711,14.159344295,14.968655705,0.000000000,0.000000000,0.000000000,0.000000000,0.000064926,0.000205313,-0.000081946,0.000211797,0.000000000,0.000000000,0.000000000,0.000000000,0.799480841,0.010959928,0.791640581,0.807321100,0.370441582,0.012407111,0.361566070,0.379317094,0.632936226,0.023722328,0.615966297,0.649906156,0.001253064,0.003962535,-0.001581563,0.004087690,29.347749793,0.131179278,29.253909797,29.441589788,14.834965939,0.454875824,14.509567401,15.160364478
ram_heavy,homog,med,binpack,10,20.342000000,0.388895873,20.063800672,20.620199328,2.632953948,2.389439185,0.923652249,4.342255648,0.557577949,0.381514909,0.284658643,0.830497254,31.200000000,24.710771381,13.522980313,48.877019687,0.781012350,0.014506108,0.770635306,0.791389394,0.515381933,0.010204695,0.508081935,0.522681932,0.874593853,0.014487212,0.864230327,0.884957379,13.898583134,9.326810692,7.226585175,20.570581093,27.019300538,0.332613018,26.781363536,27.257237541,20.644561435,0.351395317,20.393188387,20.895934484
ram_heavy,homog,med,hybrid,10,20.284000000,0.385146437,20.008482856,20.559517144,2.861108166,2.310430089,1.208326165,4.513890167,0.625347224,0.373935271,0.357850065,0.892844383,34.000000000,22.720524251,17.746717240,50.253282760,0.778774427,0.013664806,0.768999214,0.788549640,0.513980761,0.010119420,0.506741765,0.521219757,0.871753804,0.014362536,0.861479466,0.882028142,15.546855954,9.137195010,9.010500873,22.083211035,29.025674209,0.113096461,28.944769881,29.106578538,20.560227993,0.369497149,20.295905674,20.824550312
ram_heavy,homog,med,spread,10,20.282000000,0.387636714,20.004701419,20.559298581,2.878076914,2.403093648,1.159007401,4.597146428,0.615065837,0.389796881,0.336221967,0.893909707,33.800000000,24.854241757,16.020347796,51.579652204,0.778709491,0.014493363,0.768341565,0.789077418,0.514319863,0.010045960,0.507133417,0.521506310,0.872365397,0.014278151,0.862151423,0.882579370,15.333140153,9.567184956,8.489188816,22.177091490,29.654930647,0.059114230,29.612642878,29.697218417,20.554625652,0.331330493,20.317606113,20.791645191
ram_heavy,homog,med,tetris,10,20.268000000,0.386114548,19.991790311,20.544209689,2.952573796,2.400277076,1.235519137,4.669628455,0.636070398,0.391033827,0.356341669,0.915799126,34.700000000,23.673942544,17.764682929,51.635317071,0.778169351,0.014313042,0.767930418,0.788408283,0.513843738,0.009983344,0.506702084,0.520985391,0.871247743,0.014075924,0.861178434,0.881317052,15.821631392,9.566887974,8.977892504,22.665370280,29.541754278,0.076704751,29.486883008,29.596625548,20.534890247,0.332209370,20.297241997,20.772538498
tiny_large,hetero,high,binpack,10,26.906000000,1.193391060,26.052299525,27.759700475,14.224924594,2.063136452,12.749045791,15.700803396,4.219949517,0.873531277,3.595062931,4.844836104,269.400000000,61.299265901,225.549149963,313.250850037,0.686591790,0.021756205,0.671028339,0.702155240,0.910119813,0.004669756,0.906779271,0.913460356,0.567263681,0.039934041,0.538696591,0.595830771,133.373110895,29.630672253,112.176606396,154.569615394,28.091441644,0.163140980,27.974737625,28.208145662,25.175667797,1.022310439,24.444351017,25.906984576
tiny_large,hetero,high,hybrid,10,27.074000000,1.272374857,26.163797924,27.984202076,14.624741998,2.301183988,12.978574259,16.270909737,4.012233016,0.800090912,3.439882498,4.584583534,261.500000000,56.625965775,220.992227240,302.007772760,0.690776392,0.020945699,0.675792742,0.705760042,0.912856587,0.004880733,0.909365121,0.916348053,0.569894604,0.041231905,0.540399078,0.599390130,126.018657669,26.968990803,106.726205240,145.311110099,28.473924374,0.140510984,28.373408878,28.574439869,25.215312144,1.000129841,24.499862407,25.930761881
tiny_large,hetero,high,spread,10,27.188000000,1.220498987,26.314907684,28.061092316,14.564585894,2.457902566,12.806308446,16.322863343,3.928610919,0.797975326,3.357773800,4.499448038,255.200000000,60.976862643,211.579783343,298.820216657,0.693776516,0.021987053,0.678047926,0.709505105,0.912869392,0.005412784,0.908997319,0.916741464,0.571398827,0.040388159,0.542506880,0.600290773,123.443908576,27.284783075,103.925551980,142.962265172,29.740462141,0.041454390,29.710807459,29.770116822,25.191585517,0.959735958,24.505031822,25.878139213
tiny_large,hetero,high,tetris,10,27.234000000,1.143485898,26.415999525,28.052000475,14.296450232,1.778112366,13.024465363,15.568435101,3.868584252,0.771665307,3.316568185,4.420600319,253.300000000,53.576632551,214.973588664,291.626411336,0.694944767,0.019005820,0.681348824,0.708540711,0.913203598,0.004450697,0.910019762,0.916387435,0.572418623,0.040906754,0.543155696,0.601681551,121.439661927,26.744046624,102.308124858,140.571198996,28.890914124,0.158883718,28.777255567,29.004572681,25.174273670,0.977629718,24.474919550,25.873627790
tiny_large,hetero,low,binpack,10,16.952000000,0.760362487,16.408069483,17.495930517,0.000000000,0.000000000,0.000000000,0.000000000,0.000053898,0.000170442,-0.000068028,0.000175825,0.000000000,0.000000000,0.000000000,0.000000000,0.801667148,0.013532961,0.791986252,0.811348045,0.632705342,0.023161658,0.616136491,0.649274193,0.364527870,0.022574506,0.348379042,0.380676697,0.001207326,0.003817900,-0.001523835,0.003938487,22.604735713,0.656401350,22.135174508,23.074296918,17.230109664,0.793204521,16.662685373,17.797533955
tiny_large,hetero,low,hybrid,10,16.952000000,0.760362487,16.408069483,17.495930517,0.000000000,0.000000000,0.000000000,0.000000000,0.000219123,0.000692928,-0.000276568,0.000714814,0.000000000,0.000000000,0.000000000,0.000000000,0.801667148,0.013532961,0.791986252,0.811348045,0.632705342,0.023161658,0.616136491,0.649274193,0.364527870,0.022574506,0.348379042,0.380676697,0.004908358,0.015521591,-0.006195118,0.016011835,26.190437875,0.759210234,25.647331630,26.733544120,17.230109664,0.793204521,16.662685373,17.797533955
tiny_large,hetero,low,spread,10,16.952000000,0.760362487,16.408069483,17.495930517,0.000000000,0.000000000,0.000000000,0.000000000,0.000194091,0.000613770,-0.000244973,0.000633156,0.000000000,0.000000000,0.000000000,0.000000000,0.801667148,0.013532961,0.791986252,0.811348045,0.632705342,0.023161658,0.616136491,0.649274193,0.364527870,0.022574506,0.348379042,0.380676697,0.004347641,0.013748448,-0.005487405,0.014182687,29.536131644,0.075712721,29.481970030,29.590293258,17.230109664,0.793204521,16.662685373,17.797533955
tiny_large,hetero,low,tetris,10,16.952000000,0.760362487,16.408069483,17.495930517,0.000000000,0.000000000,0.000000000,0.000000000,0.000030764,0.000097286,-0.000038830,0.000100358,0.000000000,0.000000000,0.000000000,0.000000000,0.801667148,0.013532961,0.791986252,0.811348045,0.632705342,0.023161658,0.616136491,0.649274193,0.364527870,0.022574506,0.348379042,0.380676697,0.000689124,0.002179200,-0.000869782,0.002248030,27.793823973,0.287171416,27.588393932,27.999254014,17.230109664,0.793204521,16.662685373,17.797533955
tiny_large,hetero,med,binpack,10,23.790000000,1.034483231,23.049975330,24.530024670,2.324217726,1.239199690,1.437747734,3.210687719,0.395463784,0.227492903,0.232725176,0.558202391,17.400000000,13.500617270,7.742240896,27.057759104,0.790618805,0.010725750,0.782946066,0.798291543,0.870769881,0.016770983,0.858772643,0.882767119,0.509794428,0.038078390,0.482554791,0.537034065,11.513414028,6.817468711,6.636491055,16.390337000,27.509165250,0.317043388,27.282366089,27.735964410,23.800971664,1.047577630,23.051579826,24.550363502
tiny_large,hetero,med,hybrid,10,23.732000000,1.050680203,22.980388715,24.483611285,2.747549114,1.376548934,1.762825399,3.732272830,0.425248002,0.229025049,0.261413364,0.589082641,21.200000000,13.652838533,11.433348372,30.966651628,0.788678144,0.011602679,0.780378088,0.796978200,0.867798535,0.017239053,0.855466461,0.880130610,0.507980076,0.038492950,0.480443881,0.535516272,12.300066864,6.786680232,7.445168640,17.154965087,28.087928209,0.270514452,27.894413842,28.281442577,23.712052216,1.125294480,22.907065097,24.517039335
tiny_large,hetero,med,spread,10,23.760000000,1.036832784,23.018294561,24.501705439,2.564169070,1.324765025,1.616489329,3.511848811,0.409112649,0.217387163,0.253603252,0.564622047,19.100000000,12.395787815,10.232588220,27.967411780,0.789609998,0.010200484,0.782313012,0.796906985,0.868831106,0.017095165,0.856601962,0.881060249,0.508988527,0.038055768,0.481765072,0.536211981,11.851023969,6.484019503,7.212636173,16.489411765,29.666923615,0.063175592,29.621730522,29.712116707,23.696265189,1.087652440,22.918205561,24.474324817
tiny_large,hetero,med,tetris,10,23.722000000,1.056385872,22.966307125,24.477692875,2.482110386,1.157626360,1.653994434,3.310226337,0.425285192,0.214551403,0.271804375,0.578766008,22.600000000,12.112436217,13.935285728,31.264714272,0.788333228,0.011249514,0.780285811,0.796380646,0.866705736,0.017022320,0.854528703,0.878882769,0.509139461,0.037663705,0.482196472,0.536082451,12.284620289,6.376959765,7.722818410,16.846422168,28.610766915,0.230199447,28.446092163,28.775441667,23.641615551,1.078245555,22.870285202,24.412945900
tiny_large,homog,high,binpack,10,27.436000000,0.372117066,27.169803506,27.702196494,13.849684793,2.462505575,12.088114551,15.611255035,3.913400770,0.857882809,3.299708421,4.527093118,252.500000000,44.774124472,220.470523155,284.529476845,0.695220193,0.016790828,0.683208759,0.707231627,0.916713634,0.009959298,0.909589182,0.923838086,0.598945556,0.011254998,0.590894216,0.606996896,125.704184295,30.918065126,103.586734480,147.821634110,27.755774391,0.266621191,27.565045095,27.946503688,25.635634349,0.320492247,25.406368024,25.864900675
tiny_large,homog,high,hybrid,10,27.540000000,0.456459807,27.213468348,27.866531652,13.859745098,2.331757922,12.191706086,15.527784111,3.812828585,0.884410262,3.180159642,4.445497528,249.500000000,52.988992568,211.593960954,287.406039046,0.697886580,0.019347791,0.684046006,0.711727155,0.915767262,0.010253400,0.908432422,0.923102102,0.600134451,0.012486732,0.591201982,0.609066920,121.736096203,31.191940746,99.422727585,144.049464820,29.139222540,0.140730518,29.038550000,29.239895081,25.602640794,0.298633921,25.389010972,25.816270616
