family,load,policy,n_runs,n_seed_blocks,mean_throughput_horizon,sd_throughput_horizon,ci95_low_throughput_horizon,ci95_high_throughput_horizon,mean_p95_wait_time,sd_p95_wait_time,ci95_low_p95_wait_time,ci95_high_p95_wait_time,mean_mean_wait_time,sd_mean_wait_time,ci95_low_mean_wait_time,ci95_high_mean_wait_time,mean_queued_at_horizon,sd_queued_at_horizon,ci95_low_queued_at_horizon,ci95_high_queued_at_horizon,mean_completion_ratio_horizon,sd_completion_ratio_horizon,ci95_low_completion_ratio_horizon,ci95_high_completion_ratio_horizon,mean_time_weighted_cpu_utilization,sd_time_weighted_cpu_utilization,ci95_low_time_weighted_cpu_utilization,ci95_high_time_weighted_cpu_utilization,mean_time_weighted_ram_utilization,sd_time_weighted_ram_utilization,ci95_low_time_weighted_ram_utilization,ci95_high_time_weighted_ram_utilization,mean_time_weighted_queue_length,sd_time_weighted_queue_length,ci95_low_time_weighted_queue_length,ci95_high_time_weighted_queue_length,mean_time_weighted_active_nodes,sd_time_weighted_active_nodes,ci95_low_time_weighted_active_nodes,ci95_high_time_weighted_active_nodes,mean_drained_throughput,sd_drained_throughput,ci95_low_drained_throughput,ci95_high_drained_throughput
bimodal,high,tetris,20,10,20.799000000,0.555806721,20.401399824,21.196600176,17.309386883,3.024975935,15.145449458,19.473324308,4.005818406,0.574843946,3.594599819,4.417036992,190.950000000,23.177395597,174.369889998,207.530110002,0.697017034,0.011455234,0.688822453,0.705211615,0.909406431,0.009749192,0.902432280,0.916380583,0.626591410,0.018961821,0.613026940,0.640155880,92.108582098,13.900065778,82.165074050,102.052090145,29.224762641,0.139520954,29.124955363,29.324569919,19.226630062,0.443713059,18.909216861,19.544043263
bimodal,low,binpack,20,10,12.871000000,0.454983516,12.545524400,13.196475600,0.000000000,0.000000000,0.000000000,0.000000000,0.000450785,0.001425509,-0.000568962,0.001470533,0.100000000,0.316227766,-0.126215716,0.326215716,0.795718051,0.015359564,0.784730480,0.806705621,0.632576355,0.021015831,0.617542535,0.647610175,0.371564931,0.017435660,0.359092211,0.384037650,0.007676509,0.024275252,-0.009688961,0.025041978,22.120243899,0.721779844,21.603913704,22.636574095,13.161636793,0.483208500,12.815970255,13.507303330
bimodal,low,hybrid,20,10,12.871000000,0.454983516,12.545524400,13.196475600,0.000000000,0.000000000,0.000000000,0.000000000,0.000811875,0.002567375,-0.001024714,0.002648464,0.150000000,0.474341649,-0.189323574,0.489323574,0.795718051,0.015359564,0.784730480,0.806705621,0.632522683,0.020921505,0.617556339,0.647489026,0.371557504,0.017431674,0.359087636,0.384027372,0.013870342,0.043861873,-0.017506552,0.045247236,27.732898331,0.233641449,27.565761307,27.900035355,13.163779968,0.488437212,12.814373036,13.513186901
bimodal,low,spread,20,10,12.871000000,0.454983516,12.545524400,13.196475600,0.000000000,0.000000000,0.000000000,0.000000000,0.000696270,0.002201798,-0.000878802,0.002271341,0.000000000,0.000000000,0.000000000,0.000000000,0.795718051,0.015359564,0.784730480,0.806705621,0.632537996,0.020948321,0.617552470,0.647523522,0.371557803,0.017431834,0.359087820,0.384027786,0.012195413,0.038565281,-0.015392528,0.039783353,29.419950463,0.101738552,29.347171087,29.492729838,13.163779968,0.488437212,12.814373036,13.513186901
bimodal,low,tetris,20,10,12.871000000,0.454983516,12.545524400,13.196475600,0.000000000,0.000000000,0.000000000,0.000000000,0.000820371,0.002553281,-0.001006136,0.002646879,0.150000000,0.474341649,-0.189323574,0.489323574,0.795718051,0.015359564,0.784730480,0.806705621,0.632521601,0.020919614,0.617556611,0.647486591,0.371557216,0.017431520,0.359087458,0.384026975,0.014007028,0.043631148,-0.017204815,0.045218870,28.592125889,0.132092906,28.497632316,28.686619461,13.161636793,0.483208500,12.815970255,13.507303330
bimodal,med,binpack,20,10,18.002000000,0.499016811,17.645024878,18.358975122,3.178838060,1.575847985,2.051544321,4.306131798,0.543291648,0.277752704,0.344599333,0.741983962,25.700000000,20.967170105,10.700990067,40.699009933,0.781414898,0.014440407,0.771084853,0.791744943,0.863471870,0.015053673,0.852703122,0.874240619,0.523791124,0.019250407,0.510020212,0.537562036,11.567504049,5.735847227,7.464326123,15.670681975,27.223277449,0.334781573,26.983789139,27.462765759,17.958992950,0.434056806,17.648487416,18.269498483
bimodal,med,hybrid,20,10,17.990000000,0.511598801,17.624024265,18.355975735,3.154759141,1.341197237,2.195324436,4.114193847,0.556834018,0.253451551,0.375525701,0.738142335,25.800000000,19.403894225,11.919290263,39.680709737,0.780871099,0.013645882,0.771109424,0.790632775,0.862143398,0.015046500,0.851379780,0.872907016,0.523679022,0.019410931,0.509793279,0.537564766,11.873673283,5.206707779,8.149018916,15.598327650,28.591497034,0.168566697,28.470911684,28.712082385,17.942876146,0.364003865,17.682483468,18.203268825
bimodal,med,spread,20,10,17.984000000,0.526523187,17.607348002,18.360651998,3.458979685,1.673161222,2.262072250,4.655887120,0.582708020,0.265523061,0.392764265,0.772651775,27.250000000,20.496950993,12.587364556,41.912635444,0.780603549,0.014706991,0.770082802,0.791124297,0.860341194,0.015906177,0.848962600,0.871719787,0.523502677,0.019505293,0.509549431,0.537455923,12.356620328,5.401841295,8.492375852,16.220864803,29.595864653,0.066936306,29.547981305,29.643748002,17.874489822,0.418743309,17.574938904,18.174040740
bimodal,med,tetris,20,10,17.948000000,0.515941426,17.578917738,18.317082262,3.563269611,1.535804642,2.464621154,4.661918068,0.614369029,0.261967284,0.426968923,0.801769135,28.250000000,20.235076806,13.774698065,42.725301935,0.779047763,0.014438527,0.768719063,0.789376463,0.858887106,0.015598116,0.847728886,0.870045325,0.523007435,0.019565880,0.509010848,0.537004023,13.056739122,5.362222885,9.220835950,16.892642295,29.032071571,0.118734361,28.947134126,29.117009016,17.882701017,0.452459935,17.559030677,18.206371356
cpu_heavy,high,binpack,20,10,13.141000000,0.363056469,12.881285047,13.400714953,18.206045357,2.689533729,16.282068830,20.130021884,5.816284161,1.027861458,5.080996369,6.551571953,193.000000000,30.087834382,171.476459890,214.523540110,0.648995787,0.020395445,0.634405764,0.663585809,0.898970838,0.006764634,0.894131710,0.903809966,0.193023297,0.008327557,0.187066122,0.198980473,88.339492415,15.864803223,76.990495868,99.688488962,27.913215296,0.181243100,27.783561793,28.042868799,12.955293343,0.279403600,12.755420048,13.155166638
