family,load,policy,baseline,n_pairs,mean_delta_throughput_horizon,sd_delta_throughput_horizon,ci95_low_delta_throughput_horizon,ci95_high_delta_throughput_horizon,wins_throughput_horizon,losses_throughput_horizon,ties_throughput_horizon,mean_delta_p95_wait_time,sd_delta_p95_wait_time,ci95_low_delta_p95_wait_time,ci95_high_delta_p95_wait_time,wins_p95_wait_time,losses_p95_wait_time,ties_p95_wait_time,mean_delta_mean_wait_time,sd_delta_mean_wait_time,ci95_low_delta_mean_wait_time,ci95_high_delta_mean_wait_time,wins_mean_wait_time,losses_mean_wait_time,ties_mean_wait_time,mean_delta_queued_at_horizon,sd_delta_queued_at_horizon,ci95_low_delta_queued_at_horizon,ci95_high_delta_queued_at_horizon,wins_queued_at_horizon,losses_queued_at_horizon,ties_queued_at_horizon,mean_delta_completion_ratio_horizon,sd_delta_completion_ratio_horizon,ci95_low_delta_completion_ratio_horizon,ci95_high_delta_completion_ratio_horizon,wins_completion_ratio_horizon,losses_completion_ratio_horizon,ties_completion_ratio_horizon,mean_delta_time_weighted_cpu_utilization,sd_delta_time_weighted_cpu_utilization,ci95_low_delta_time_weighted_cpu_utilization,ci95_high_delta_time_weighted_cpu_utilization,wins_time_weighted_cpu_utilization,losses_time_weighted_cpu_utilization,ties_time_weighted_cpu_utilization,mean_delta_time_weighted_ram_utilization,sd_delta_time_weighted_ram_utilization,ci95_low_delta_time_weighted_ram_utilization,ci95_high_delta_time_weighted_ram_utilization,wins_time_weighted_ram_utilization,losses_time_weighted_ram_utilization,ties_time_weighted_ram_utilization,mean_delta_time_weighted_queue_length,sd_delta_time_weighted_queue_length,ci95_low_delta_time_weighted_queue_length,ci95_high_delta_time_weighted_queue_length,wins_time_weighted_queue_length,losses_time_weighted_queue_length,ties_time_weighted_queue_length,mean_delta_time_weighted_active_nodes,sd_delta_time_weighted_active_nodes,ci95_low_delta_time_weighted_active_nodes,ci95_high_delta_time_weighted_active_nodes,wins_time_weighted_active_nodes,losses_time_weighted_active_nodes,ties_time_weighted_active_nodes,mean_delta_drained_throughput,sd_delta_drained_throughput,ci95_low_delta_drained_throughput,ci95_high_delta_drained_throughput,wins_drained_throughput,losses_drained_throughput,ties_drained_throughput
drift,low,tetris,binpack,20,0.000000000,0.000000000,0.000000000,0.000000000,0,0,20,0.448742829,0.459422440,0.233726514,0.663759144,19,1,0,0.060667897,0.033832418,0.044833838,0.076501955,19,1,0,0.000000000,0.000000000,0.000000000,0.000000000,0,0,20,0.000000000,0.000000000,0.000000000,0.000000000,0,0,20,-0.000000000,0.000000000,-0.000000000,-0.000000000,0,0,20,-0.000000000,0.000000000,-0.000000000,0.000000000,0,0,20,0.978825151,0.550346651,0.721254997,1.236395306,19,1,0,3.847431274,1.045993684,3.357891174,4.336971375,20,0,0,0.000000000,0.000000000,0.000000000,0.000000000,0,0,20
drift,med,hybrid,binpack,20,0.288000000,0.197819695,0.195417535,0.380582465,18,2,0,0.659818713,1.111936155,0.139416587,1.180220838,16,4,0,-0.361131089,0.230218700,-0.468876755,-0.253385424,1,19,0,-13.850000000,10.509519494,-18.768606400,-8.931393600,1,19,0,0.012409585,0.008212829,0.008565863,0.016253308,18,2,0,0.002465892,0.002891698,0.001112536,0.003819248,16,4,0,0.009926560,0.008421930,0.005984975,0.013868144,18,2,0,-7.449075133,4.626287445,-9.614244249,-5.283906016,1,19,0,1.163469951,0.334604755,1.006870110,1.320069793,20,0,0,0.111931889,0.156431511,0.038719690,0.185144088,15,5,0
drift,med,spread,binpack,20,0.137000000,0.230448076,0.029146983,0.244853017,16,4,0,0.433994154,0.415577911,0.239497709,0.628490598,18,2,0,-0.239536502,0.257250096,-0.359933249,-0.119139754,4,16,0,-8.650000000,12.799157045,-14.640189731,-2.659810269,4,16,0,0.006012703,0.009946988,0.001357369,0.010668036,16,4,0,0.002268258,0.003652314,0.000558923,0.003977594,15,5,0,0.007434061,0.009599621,0.002941300,0.011926822,15,5,0,-4.766056668,4.933760035,-7.075127382,-2.456985954,3,17,0,1.446509029,0.179540124,1.362481667,1.530536391,20,0,0,0.086403021,0.150785350,0.015833307,0.156972735,14,6,0
drift,med,tetris,binpack,20,0.282000000,0.211849003,0.182851617,0.381148383,18,2,0,1.019453910,1.712437967,0.218008292,1.820899528,16,4,0,-0.361488466,0.237609108,-0.472692949,-0.250283983,2,18,0,-15.250000000,13.423761337,-21.532513531,-8.967486469,1,18,1,0.012172414,0.009101878,0.007912604,0.016432224,18,2,0,0.002423128,0.003664866,0.000707917,0.004138338,16,4,0,0.011648025,0.011036986,0.006482557,0.016813494,17,3,0,-7.308987853,4.535993832,-9.431898259,-5.186077448,1,19,0,1.281665733,0.316693244,1.133448736,1.429882730,20,0,0,0.154104638,0.179276196,0.070200798,0.238008478,17,3,0
pred_error,high,hybrid,binpack,20,0.004000000,0.081975606,-0.034365764,0.042365764,8,11,1,0.610223256,1.183304255,0.056419832,1.164026680,13,7,0,-0.007447552,0.100848139,-0.054645933,0.039750828,9,11,0,0.700000000,4.691537735,-1.495707191,2.895707191,11,7,2,0.000232959,0.003940497,-0.001611250,0.002077168,8,11,1,-0.003912909,0.002475143,-0.005071311,-0.002754506,1,19,0,0.000025571,0.001286403,-0.000576484,0.000627626,10,10,0,-0.515785841,1.585097837,-1.257634445,0.226062763,8,12,0,1.255988237,0.386933867,1.074897617,1.437078856,20,0,0,-0.062948142,0.123615389,-0.120801923,-0.005094361,6,14,0
pred_error,high,spread,binpack,20,-0.034000000,0.066522651,-0.065133558,-0.002866442,5,12,3,0.286361425,1.273910575,-0.309847061,0.882569911,13,7,0,-0.005814393,0.136946913,-0.069907520,0.058278734,9,11,0,1.750000000,4.655217786,-0.428708932,3.928708932,11,7,2,-0.001592615,0.003126893,-0.003056046,-0.000129184,5,12,3,-0.001980475,0.002883113,-0.003329813,-0.000631137,3,17,0,-0.000389568,0.001617624,-0.001146639,0.000367504,7,13,0,-0.267810304,1.869480567,-1.142754119,0.607133511,9,11,0,1.613578846,0.203765588,1.518213618,1.708944074,20,0,0,-0.024934811,0.112443435,-0.077559957,0.027690336,8,12,0
pred_error,high,tetris,binpack,20,-0.004000000,0.095056770,-0.048487937,0.040487937,11,8,1,0.791471851,1.296800359,0.184550617,1.398393086,14,6,0,0.009447683,0.126973382,-0.049977688,0.068873053,9,11,0,0.150000000,5.896252155,-2.609530881,2.909530881,6,14,0,-0.000147058,0.004489803,-0.002248351,0.001954234,11,8,1,-0.004681211,0.002473601,-0.005838892,-0.003523530,0,20,0,-0.000165283,0.001733712,-0.000976685,0.000646119,9,11,0,-0.320340887,2.129883514,-1.317157030,0.676475255,4,16,0,1.414052565,0.381801469,1.235363981,1.592741148,20,0,0,-0.076477699,0.094135547,-0.120534490,-0.032420908,4,16,0
pred_error,low,hybrid,binpack,20,0.000000000,0.000000000,0.000000000,0.000000000,0,0,20,0.000000000,0.000000000,0.000000000,0.000000000,0,0,20,0.000559576,0.001552772,-0.000167144,0.001286296,7,0,13,0.000000000,0.000000000,0.000000000,0.000000000,0,0,20,0.000000000,0.000000000,0.000000000,0.000000000,0,0,20,-0.000004348,0.000013383,-0.000010611,0.000001915,0,2,18,-0.000000652,0.000002007,-0.000001592,0.000000287,0,2,18,0.006409140,0.017936165,-0.001985243,0.014803523,7,0,13,6.439041141,1.426906692,5.771228270,7.106854012,20,0,0,0.000000000,0.000000000,0.000000000,0.000000000,0,0,20
pred_error,low,spread,binpack,20,0.000000000,0.000000000,0.000000000,0.000000000,0,0,20,0.000000000,0.000000000,0.000000000,0.000000000,0,0,20,0.000009806,0.000043853,-0.000010718,0.000030330,1,0,19,0.000000000,0.000000000,0.000000000,0.000000000,0,0,20,0.000000000,0.000000000,0.000000000,0.000000000,0,0,20,0.000000000,0.000000000,0.000000000,0.000000000,0,0,20,0.000000000,0.000000000,0.000000000,0.000000000,0,0,20,0.000113747,0.000508692,-0.000124328,0.000351822,1,0,19,7.164035115,1.108300161,6.645334686,7.682735543,20,0,0,0.000000000,0.000000000,0.000000000,0.000000000,0,0,20
pred_error,low,tetris,binpack,20,0.000000000,0.000000000,0.000000000,0.000000000,0,0,20,0.000000000,0.000000000,0.000000000,0.000000000,0,0,20,0.000751807,0.001448604,0.000073840,0.001429774,9,0,11,0.000000000,0.000000000,0.000000000,0.000000000,0,0,20,0.000000000,0.000000000,0.000000000,0.000000000,0,0,20,-0.000018236,0.000052507,-0.000042810,0.000006338,0,3,17,-0.000002735,0.000007876,-0.000006422,0.000000951,0,3,17,0.008535629,0.016439201,0.000841846,0.016229411,9,0,11,6.749357864,1.414535137,6.087335059,7.411380669,20,0,0,0.000000000,0.000000000,0.000000000,0.000000000,0,0,20
