family,load,policy,baseline,n_pairs,mean_delta_throughput_horizon,sd_delta_throughput_horizon,ci95_low_delta_throughput_horizon,ci95_high_delta_throughput_horizon,wins_throughput_horizon,losses_throughput_horizon,ties_throughput_horizon,mean_delta_p95_wait_time,sd_delta_p95_wait_time,ci95_low_delta_p95_wait_time,ci95_high_delta_p95_wait_time,wins_p95_wait_time,losses_p95_wait_time,ties_p95_wait_time,mean_delta_mean_wait_time,sd_delta_mean_wait_time,ci95_low_delta_mean_wait_time,ci95_high_delta_mean_wait_time,wins_mean_wait_time,losses_mean_wait_time,ties_mean_wait_time,mean_delta_queued_at_horizon,sd_delta_queued_at_horizon,ci95_low_delta_queued_at_horizon,ci95_high_delta_queued_at_horizon,wins_queued_at_horizon,losses_queued_at_horizon,ties_queued_at_horizon,mean_delta_completion_ratio_horizon,sd_delta_completion_ratio_horizon,ci95_low_delta_completion_ratio_horizon,ci95_high_delta_completion_ratio_horizon,wins_completion_ratio_horizon,losses_completion_ratio_horizon,ties_completion_ratio_horizon,mean_delta_time_weighted_cpu_utilization,sd_delta_time_weighted_cpu_utilization,ci95_low_delta_time_weighted_cpu_utilization,ci95_high_delta_time_weighted_cpu_utilization,wins_time_weighted_cpu_utilization,losses_time_weighted_cpu_utilization,ties_time_weighted_cpu_utilization,mean_delta_time_weighted_ram_utilization,sd_delta_time_weighted_ram_utilization,ci95_low_delta_time_weighted_ram_utilization,ci95_high_delta_time_weighted_ram_utilization,wins_time_weighted_ram_utilization,losses_time_weighted_ram_utilization,ties_time_weighted_ram_utilization,mean_delta_time_weighted_queue_length,sd_delta_time_weighted_queue_length,ci95_low_delta_time_weighted_queue_length,ci95_high_delta_time_weighted_queue_length,wins_time_weighted_queue_length,losses_time_weighted_queue_length,ties_time_weighted_queue_length,mean_delta_time_weighted_active_nodes,sd_delta_time_weighted_active_nodes,ci95_low_delta_time_weighted_active_nodes,ci95_high_delta_time_weighted_active_nodes,wins_time_weighted_active_nodes,losses_time_weighted_active_nodes,ties_time_weighted_active_nodes,mean_delta_drained_throughput,sd_delta_drained_throughput,ci95_low_delta_drained_throughput,ci95_high_delta_drained_throughput,wins_drained_throughput,losses_drained_throughput,ties_drained_throughput
ram_heavy,med,spread,binpack,20,-0.027000000,0.061310255,-0.055694082,0.001694082,3,13,4,0.175836130,0.251486360,0.058136894,0.293535367,16,4,0,0.026243547,0.045818711,0.004799731,0.047687363,17,3,0,1.350000000,3.297127937,-0.193103334,2.893103334,10,7,3,-0.001030344,0.002329033,-0.002120365,0.000059677,3,13,4,-0.000711329,0.000737001,-0.001056256,-0.000366402,4,16,0,-0.001437069,0.001452215,-0.002116726,-0.000757412,3,17,0,0.621983968,1.199392150,0.060651178,1.183316759,17,3,0,2.313021915,0.434816201,2.109521674,2.516522156,20,0,0,-0.047146855,0.076938326,-0.083155098,-0.011138611,6,14,0
ram_heavy,med,tetris,binpack,20,-0.046000000,0.072285982,-0.079830880,-0.012169120,4,15,1,0.289730171,0.153852125,0.217725162,0.361735180,20,0,0,0.040312967,0.065044166,0.009871361,0.070754572,17,3,0,2.500000000,4.173853451,0.546576505,4.453423495,13,6,1,-0.001794037,0.002741509,-0.003077102,-0.000510971,4,15,1,-0.001048131,0.001007914,-0.001519849,-0.000576413,1,19,0,-0.002406768,0.002012907,-0.003348837,-0.001464698,1,19,0,0.935830917,1.706980310,0.136939561,1.734722273,17,3,0,1.619527098,0.974239841,1.163568829,2.075485367,20,0,0,-0.069202562,0.092399517,-0.112446866,-0.025958259,3,17,0
tiny_large,high,hybrid,binpack,20,0.136000000,0.222294257,0.031963088,0.240036912,15,4,1,0.204938855,0.846846252,-0.191397381,0.601275090,10,10,0,-0.154144343,0.181906614,-0.239279256,-0.069009429,4,16,0,-5.450000000,17.282406631,-13.538415070,2.638415070,7,10,3,0.003425495,0.005573347,0.000817088,0.006033901,15,4,1,0.000895201,0.002418231,-0.000236566,0.002026968,12,8,0,0.001909909,0.005662260,-0.000740110,0.004559928,12,8,0,-5.661270659,5.754734179,-8.354569090,-2.967972228,3,17,0,0.882965439,0.560486959,0.620649475,1.145281404,20,0,0,0.003325396,0.132761768,-0.058809023,0.065459815,9,11,0
tiny_large,high,spread,binpack,20,0.093000000,0.323876195,-0.058578721,0.244578721,11,9,0,0.248389944,0.747119272,-0.101272629,0.598052518,11,9,0,-0.108335487,0.297906910,-0.247760209,0.031089235,10,10,0,-3.550000000,20.763011139,-13.267388081,6.167388081,10,10,0,0.002370529,0.008204072,-0.001469095,0.006210153,11,9,0,0.000479805,0.002958221,-0.000904686,0.001864295,9,11,0,0.001204097,0.006358513,-0.001771779,0.004179972,10,10,0,-3.872973974,9.730905906,-8.427178007,0.681230059,10,10,0,1.833034735,0.278308108,1.702782534,1.963286936,20,0,0,-0.011141746,0.125625476,-0.069936277,0.047652785,10,10,0
tiny_large,high,tetris,binpack,20,0.261000000,0.277164211,0.131283160,0.390716840,18,2,0,0.448201957,0.954011434,0.001710874,0.894693040,16,4,0,-0.277893502,0.236589741,-0.388620907,-0.167166098,3,17,0,-12.700000000,22.534418120,-23.246432046,-2.153567954,4,15,1,0.006651765,0.007001517,0.003374954,0.009928575,18,2,0,0.000407612,0.003616684,-0.001285048,0.002100272,11,9,0,0.003905142,0.006898904,0.000676355,0.007133928,14,6,0,-10.003562265,7.404287752,-13.468875512,-6.538249018,3,17,0,1.350300649,0.619536743,1.060348536,1.640252763,20,0,0,-0.063086572,0.167587763,-0.141520057,0.015346913,8,12,0
tiny_large,low,hybrid,binpack,20,0.000000000,0.000000000,0.000000000,0.000000000,0,0,20,0.000000000,0.000000000,0.000000000,0.000000000,0,0,20,0.000276636,0.000925017,-0.000156285,0.000709558,2,0,18,0.000000000,0.000000000,0.000000000,0.000000000,0,0,20,0.000000000,0.000000000,0.000000000,0.000000000,0,0,20,0.000000000,0.000000000,-0.000000000,0.000000000,0,0,20,-0.000000000,0.000000000,-0.000000000,0.000000000,0,0,20,0.006177251,0.020640849,-0.003482964,0.015837465,2,0,18,5.335059427,1.954308250,4.420415035,6.249703819,20,0,0,0.000000000,0.000000000,0.000000000,0.000000000,0,0,20
tiny_large,low,spread,binpack,20,0.000000000,0.000000000,0.000000000,0.000000000,0,0,20,0.000000000,0.000000000,0.000000000,0.000000000,0,0,20,0.000224228,0.000742063,-0.000123068,0.000571525,2,0,18,0.000000000,0.000000000,0.000000000,0.000000000,0,0,20,0.000000000,0.000000000,0.000000000,0.000000000,0,0,20,-0.000000000,0.000000000,-0.000000000,0.000000000,0,0,20,-0.000000000,0.000000000,-0.000000000,0.000000000,0,0,20,0.005007302,0.016559751,-0.002742900,0.012757504,2,0,18,7.633728975,0.973918778,7.177920968,8.089536982,20,0,0,0.000000000,0.000000000,0.000000000,0.000000000,0,0,20
tiny_large,low,tetris,binpack,20,0.000000000,0.000000000,0.000000000,0.000000000,0,0,20,0.000000000,0.000000000,0.000000000,0.000000000,0,0,20,0.000253157,0.001187726,-0.000302716,0.000809030,1,1,18,0.000000000,0.000000000,0.000000000,0.000000000,0,0,20,0.000000000,0.000000000,0.000000000,0.000000000,0,0,20,0.000000000,0.000000000,-0.000000000,0.000000000,0,0,20,0.000000000,0.000000000,-0.000000000,0.000000000,0,0,20,0.005644235,0.026486795,-0.006751967,0.018040436,1,1,18,6.689313428,1.672984860,5.906332433,7.472294424,20,0,0,0.000000000,0.000000000,0.000000000,0.000000000,0,0,20
tiny_large,med,hybrid,binpack,20,-0.047000000,0.053222472,-0.071908883,-0.022091117,4,15,1,0.449072550,0.445314073,0.240659154,0.657485946,16,4,0,0.049107031,0.050534154,0.025456320,0.072757742,18,2,0,3.150000000,5.029125696,0.796296784,5.503703216,14,6,0,-0.001574718,0.001758773,-0.002397849,-0.000751587,4,15,1,-0.005551641,0.004318596,-0.007572807,-0.003530476,1,19,0,-0.001642824,0.002270743,-0.002705565,-0.000580084,4,16,0,1.323734504,1.420395519,0.658968956,1.988500053,17,3,0,1.237079300,0.803250828,0.861146350,1.613012250,20,0,0,-0.143278396,0.203546013,-0.238540859,-0.048015932,4,15,1
tiny_large,med,spread,binpack,20,-0.032000000,0.050429732,-0.055601841,-0.008398159,4,13,3,0.191372687,0.346192780,0.029349482,0.353395891,14,6,0,0.021290200,0.035046605,0.004887885,0.037692516,16,4,0,1.450000000,3.068944615,0.013689745,2.886310255,14,4,2,-0.001059646,0.001665312,-0.001839036,-0.000280256,4,13,3,-0.002554693,0.003425050,-0.004157665,-0.000951720,5,15,0,-0.000412389,0.001690940,-0.001203774,0.000378995,7,13,0,0.569768208,1.015566399,0.094468515,1.045067901,16,4,0,2.396145591,0.436102370,2.192043405,2.600247778,20,0,0,-0.103234560,0.168687225,-0.182182609,-0.024286510,4,15,1
tiny_large,med,tetris,binpack,20,-0.068000000,0.060314963,-0.096228271,-0.039771729,3,17,0,0.444076279,0.485345450,0.216927623,0.671224936,17,3,0,0.066568949,0.055695474,0.040502665,0.092635232,18,2,0,5.100000000,5.118593557,2.704424537,7.495575463,18,2,0,-0.002267568,0.002018967,-0.003212474,-0.001322662,3,17,0,-0.007708524,0.005343846,-0.010209521,-0.005207527,0,20,0,-0.001496953,0.002628199,-0.002726988,-0.000266918,4,16,0,1.775440888,1.593200501,1.029800120,2.521081655,18,2,0,1.791329670,0.822582071,1.406349420,2.176309919,20,0,0,-0.250779066,0.219927490,-0.353708297,-0.147849836,2,18,0
