family,cluster,load,policy,n,mean_delta,ci95_low,ci95_high,wins,losses
balanced,hetero,low,d1_cheap,10,0.00000,0.00000,0.00000,0,0
balanced,hetero,low,d1_cheap_nomad_ff,10,0.00000,0.00000,0.00000,0,0
balanced,hetero,low,d2_capacity,10,0.00000,0.00000,0.00000,0,0
balanced,hetero,low,d2_capacity_nomad_ff,10,0.00000,0.00000,0.00000,0,0
balanced,hetero,low,ff_only_cheap,10,0.00000,0.00000,0.00000,0,0
balanced,hetero,low,hybrid,10,0.00000,0.00000,0.00000,0,0
balanced,hetero,low,spread,10,0.00000,0.00000,0.00000,0,0
balanced,hetero,low,tetris,10,0.00000,0.00000,0.00000,0,0
balanced,hetero,low,wmatch,10,0.00000,0.00000,0.00000,0,0
balanced,hetero,med,balance,10,0.00000,0.00000,0.00000,0,0
balanced,hetero,med,d1_cheap,10,0.00000,0.00000,0.00000,0,0
balanced,hetero,med,d1_cheap_nomad_ff,10,0.00000,0.00000,0.00000,0,0
balanced,hetero,med,d2_capacity,10,0.00000,0.00000,0.00000,0,0
balanced,hetero,med,d2_capacity_nomad_ff,10,0.00000,0.00000,0.00000,0,0
balanced,hetero,med,ff_only_cheap,10,0.00000,0.00000,0.00000,0,0
balanced,hetero,med,hybrid,10,0.00000,0.00000,0.00000,0,0
balanced,hetero,med,spread,10,0.00000,0.00000,0.00000,0,0
balanced,hetero,med,tetris,10,0.00000,0.00000,0.00000,0,0
balanced,hetero,med,wmatch,10,0.00000,0.00000,0.00000,0,0
balanced,homog,high,balance,10,0.00000,0.00000,0.00000,0,0
balanced,homog,high,d1_cheap,10,-0.00474,-0.01151,0.00203,2,6
balanced,homog,high,d1_cheap_nomad_ff,10,0.00395,-0.00005,0.00795,5,1
balanced,homog,high,d2_capacity,10,-0.00158,-0.00914,0.00598,3,4
balanced,homog,high,d2_capacity_nomad_ff,10,0.00356,0.00017,0.00694,6,1
balanced,homog,high,ff_only_cheap,10,0.00395,-0.00005,0.00795,5,1
balanced,homog,high,hybrid,10,-0.00237,-0.01236,0.00762,4,5
