split,family,cluster_config,load,policy,seed,target_rho,realized_rho_cpu,realized_rho_ram,realized_rho,arrival_rate,observation_horizon,duration_min,duration_max,submitted,feasible_jobs,permanently_infeasible,started_by_horizon,completed_by_horizon,running_at_horizon,queued_at_horizon,admission_ratio_horizon,completion_ratio_horizon,throughput_horizon,mean_wait_time,p95_wait_time,mean_turnaround_time,p95_turnaround_time,mean_slowdown,p95_slowdown,time_weighted_cpu_utilization,time_weighted_ram_utilization,time_weighted_queue_length,time_weighted_active_nodes,horizon_active_nodes,horizon_cpu_utilization,horizon_ram_utilization,horizon_free_imbalance,makespan,drained_throughput,params
test,balanced,homog,high,hybrid,1002,1.3,1.2987052549081137,0.7792231529448682,1.2987052549081137,29.952,50.0,8.0,12.0,1501,1501,0,1206,962,244,295,0.8034643570952699,0.6409060626249167,19.24,6.064428615523694,15.554372249878078,16.022561055780045,25.922217088771582,1.6168428310377878,2.6651141366659963,0.8996964693760073,0.5398178816256044,136.7054195423938,28.6359774790449,30,0.9809027777777778,0.5885416666666666,0.3923611111111111,77.14401679401806,19.457114918034595,"{'alpha': 0.1, 'beta': 0.9, 'gamma': 0.0, 'source': 'phase3_tuning'}"
test,balanced,homog,high,binpack,1003,1.3,1.2478615535367286,0.7487169321220372,1.2478615535367286,29.952,50.0,8.0,12.0,1435,1435,0,1208,969,239,227,0.8418118466898955,0.6752613240418118,19.38,3.9282094649012342,15.773020064537711,13.931854973431824,25.13457179756506,1.397526708718687,2.494405778287797,0.905422141393536,0.5432532848361223,86.87681107647838,27.81076638808744,30,0.9800347222222222,0.5880208333333333,0.39201388888888894,74.56516019784877,19.244912720530845,{}
test,balanced,homog,high,spread,1003,1.3,1.2478615535367286,0.7487169321220372,1.2478615535367286,29.952,50.0,8.0,12.0,1435,1435,0,1213,972,241,222,0.8452961672473868,0.6773519163763067,19.44,3.878616765709779,16.265001394733076,13.882262274240366,25.607178426291703,1.392626316764655,2.571029662693264,0.9052415438915543,0.5431449263349333,85.63122860093918,29.75683035557922,30,0.9835069444444445,0.5901041666666667,0.3934027777777778,74.7707649108055,19.191993043160924,{}
test,balanced,homog,high,tetris,1003,1.3,1.2478615535367286,0.7487169321220372,1.2478615535367286,29.952,50.0,8.0,12.0,1435,1435,0,1213,972,241,222,0.8452961672473868,0.6773519163763067,19.44,3.878616765709779,16.265001394733076,13.882262274240366,25.607178426291703,1.392626316764655,2.571029662693264,0.9052415438915543,0.5431449263349333,85.63122860093918,29.75683035557922,30,0.9835069444444445,0.5901041666666667,0.3934027777777778,74.7707649108055,19.191993043160924,{}
test,balanced,homog,high,hybrid,1003,1.3,1.2478615535367286,0.7487169321220372,1.2478615535367286,29.952,50.0,8.0,12.0,1435,1435,0,1208,969,239,227,0.8418118466898955,0.6752613240418118,19.38,4.013892803041432,15.317979131612503,14.017538311572022,24.900222051635488,1.4061997413977585,2.4745614934343108,0.9041529471286741,0.5424917682772064,88.8256328586017,28.661959549787,30,0.982638888888889,0.5895833333333333,0.3930555555555556,74.39610439693152,19.28864436696482,"{'alpha': 0.1, 'beta': 0.9, 'gamma': 0.0, 'source': 'phase3_tuning'}"
test,balanced,homog,high,binpack,1004,1.3,1.285671468510622,0.7714028811063732,1.285671468510622,29.952,50.0,8.0,12.0,1474,1474,0,1207,969,238,267,0.8188602442333786,0.6573948439620081,19.38,5.6609480114050905,16.53651707510857,15.695121111252258,26.492569616908852,1.571645739666718,2.6000796563225848,0.8984404019780956,0.5390642411868574,128.84170222452926,27.56566974688552,30,0.9809027777777778,0.5885416666666666,0.3923611111111111,77.497204542142,19.020040899648933,{}
test,balanced,homog,high,spread,1004,1.3,1.285671468510622,0.7714028811063732,1.285671468510622,29.952,50.0,8.0,12.0,1474,1474,0,1206,969,237,268,0.8181818181818182,0.6573948439620081,19.38,5.542408631444505,15.898013239474096,15.576581731291672,26.004100084935104,1.5586949937850014,2.5918453502620444,0.8937757184781779,0.5362654310869075,123.30513098388415,29.619701440398536,30,0.9817708333333334,0.5890625,0.3927083333333333,77.742199399059,18.960101610115256,{}
test,balanced,homog,high,tetris,1004,1.3,1.285671468510622,0.7714028811063732,1.285671468510622,29.952,50.0,8.0,12.0,1474,1474,0,1206,969,237,268,0.8181818181818182,0.6573948439620081,19.38,5.542408631444505,15.898013239474096,15.576581731291672,26.004100084935104,1.5586949937850014,2.5918453502620444,0.8937757184781779,0.5362654310869075,123.30513098388415,29.619701440398536,30,0.9817708333333334,0.5890625,0.3927083333333333,77.742199399059,18.960101610115256,{}
test,balanced,homog,high,hybrid,1004,1.3,1.285671468510622,0.7714028811063732,1.285671468510622,29.952,50.0,8.0,12.0,1474,1474,0,1201,963,238,273,0.8147896879240163,0.6533242876526458,19.26,5.666987749173188,14.338146396201822,15.701160849020354,24.899294785849996,1.5714146517283145,2.5036458985860106,0.89595276532242,0.5375716591934517,125.54564636412793,28.34683154171158,30,0.9861111111111112,0.5916666666666667,0.3944444444444445,77.18730490778681,19.096404541665763,"{'alpha': 0.1, 'beta': 0.9, 'gamma': 0.0, 'source': 'phase3_tuning'}"
test,balanced,homog,high,binpack,1005,1.3,1.2879516904562267,0.772771014273736,1.2879516904562267,29.952,50.0,8.0,12.0,1482,1482,0,1182,948,234,300,0.7975708502024291,0.6396761133603239,18.96,6.189397817517625,14.156447582936387,16.226789316945176,24.509290095207618,1.626137173876535,2.465093286373835,0.9103535998496433,0.5462121599097867,143.6817865824224,28.01198793009617,30,0.9765625,0.5859375,0.390625,76.67899875047654,19.327325919090587,{}
test,balanced,homog,high,spread,1005,1.3,1.2879516904562267,0.772771014273736,1.2879516904562267,29.952,50.0,8.0,12.0,1482,1482,0,1214,975,239,268,0.8191632928475033,0.6578947368421053,19.5,5.652615210304711,15.576169947931746,15.690006709732266,25.27338551976333,1.5727511338990987,2.527838429521304,0.9141257152548355,0.5484754291529003,131.18486168080943,29.677887740312425,30,0.982638888888889,0.5895833333333333,0.3930555555555556,76.84875418661149,19.284632726787816,{}
